"","id","lat","long","type","site","code","locationtype","country"
"211",14389,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MFLAVI","Civil Settlement","Germany"
"212",14396,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PHILO","Civil Settlement","Germany"
"213",14398,50.11552,8.684167,"Dressel 20","Frankfurt am Main","GALLICI","Civil Settlement","Germany"
"214",14400,50.11552,8.684167,"Dressel 20","Frankfurt am Main","KVFIGGRVMCOLSICETASI","Civil Settlement","Germany"
"215",14402,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PQHEHE","Civil Settlement","Germany"
"216",14403,50.11552,8.684167,"Dressel 20","Frankfurt am Main","XIIIIHP","Civil Settlement","Germany"
"217",14408,50.11552,8.684167,"Dressel 20","Frankfurt am Main","HISPANSAENPALMA","Civil Settlement","Germany"
"218",14412,50.11552,8.684167,"Dressel 20","Frankfurt am Main","DIA","Civil Settlement","Germany"
"219",14417,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QHEDERAIHEDERAA","Civil Settlement","Germany"
"220",14424,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QIAFS","Civil Settlement","Germany"
"221",14429,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QIAF","Civil Settlement","Germany"
"222",14437,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QIIALFS","Civil Settlement","Germany"
"223",14440,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CIALB","Civil Settlement","Germany"
"224",14442,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CIALB","Civil Settlement","Germany"
"225",14444,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CIALB","Civil Settlement","Germany"
"226",14465,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MIM","Civil Settlement","Germany"
"227",14467,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MIM","Civil Settlement","Germany"
"228",14477,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MIME","Civil Settlement","Germany"
"229",14479,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QIM","Civil Settlement","Germany"
"230",14491,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QIMFN","Civil Settlement","Germany"
"231",14498,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QIMFS","Civil Settlement","Germany"
"232",14514,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PIRETH","Civil Settlement","Germany"
"233",14515,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PERSEIPIRSEI","Civil Settlement","Germany"
"234",14522,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LIT","Civil Settlement","Germany"
"235",14526,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LHEDERAIHEDERAT","Civil Settlement","Germany"
"236",14534,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ILFT","Civil Settlement","Germany"
"237",14545,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PIVLICRISPI","Civil Settlement","Germany"
"238",14547,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PIVLICRISP","Civil Settlement","Germany"
"239",14550,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CIVLISVRI","Civil Settlement","Germany"
